time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-28T23:04:01.470Z,33.483,-116.7885,6.62,0.44,ml,16,107,0.09265,0.15,ci,ci37819807,2017-11-28T23:43:10.504Z,"8km ENE of Aguanga, CA",earthquake,0.36,0.57,0.043,8,reviewed,ci,ci
2017-11-28T22:54:28.559Z,63.0978,-151.4706,15.7,1,ml,,,,0.57,ak,ak17399507,2017-11-28T23:03:11.009Z,"110km NW of Talkeetna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-11-28T22:44:08.240Z,33.5026667,-116.7945,4.74,0.6,ml,25,97,0.01084,0.08,ci,ci37819799,2017-11-28T23:39:10.559Z,"9km NE of Aguanga, CA",earthquake,0.16,0.21,0.09,15,reviewed,ci,ci
2017-11-28T22:27:51.920Z,33.7126667,-116.7508333,16.18,0.57,ml,15,178,0.0306,0.06,ci,ci37819791,2017-11-28T23:32:02.940Z,"4km SW of Idyllwild, CA",earthquake,0.26,0.27,0.125,8,reviewed,ci,ci
2017-11-28T22:20:27.812Z,38.4766,-118.3819,3.4,0,ml,4,178.87,0.054,0.058,nn,nn00613805,2017-11-28T23:24:51.369Z,"21km ESE of Hawthorne, Nevada",earthquake,,12.2,0.22,2,reviewed,nn,nn
2017-11-28T22:13:16.980Z,37.5188333,-118.4301667,8.21,0.99,md,12,137,0.03099,0.04,nc,nc72931915,2017-11-29T00:12:02.715Z,"14km N of Dixon Lane-Meadow Creek, California",earthquake,0.48,0.72,0.271,11,reviewed,nc,nc
2017-11-28T22:11:12.488Z,62.8553,-150.4568,85.8,2.3,ml,,,,0.64,ak,ak17399505,2017-11-28T22:14:20.273Z,"61km NNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-11-28T22:07:01.570Z,38.8255005,-122.7994995,2.39,0.52,md,13,52,0.008523,0.04,nc,nc72931910,2017-11-28T22:36:02.438Z,"6km W of Cobb, California",earthquake,0.36,0.83,0.02,2,automatic,nc,nc
2017-11-28T21:54:47.336Z,39.5626,-119.7922,7.4,1.8,ml,23,96.93,0.026,0.1499,nn,nn00613797,2017-11-28T23:12:27.127Z,"3km SSW of Sun Valley, Nevada",earthquake,,0.6,0.29,9,reviewed,nn,nn
2017-11-28T21:49:47.680Z,33.9571667,-117.1595,14.12,1.02,ml,31,126,0.06504,0.18,ci,ci37819775,2017-11-28T22:03:25.358Z,"7km ENE of Moreno Valley, CA",earthquake,0.3,0.59,0.146,17,reviewed,ci,ci
